respondent_id,age_group,region,gender,income_band,likelihood_ev_next_vehicle
36,25-34,East of England,Female,£20k-£40k,Somewhat unlikely
37,45-54,Wales,Female,£60k-£80k,Very unlikely
38,45-54,South East,Male,Under £20k,Somewhat likely
39,55-64,East of England,Male,£20k-£40k,Very likely
40,65+,Wales,Male,Under £20k,Very unlikely
41,35-44,South East,Female,£40k-£60k,Neutral
42,25-34,East of England,Male,£80k+,Neutral
43,25-34,East Midlands,Female,£20k-£40k,Very likely
44,65+,West Midlands,Male,£60k-£80k,Somewhat unlikely
45,65+,London,Female,Under £20k,Very likely
46,65+,Yorkshire,Female,Under £20k,Neutral
47,25-34,East of England,Male,£60k-£80k,Very likely
48,45-54,North West,Female,Under £20k,Neutral
49,55-64,South East,Male,£80k+,Very unlikely
50,18-24,North West,Male,£60k-£80k,Neutral
51,45-54,London,Male,Under £20k,Very unlikely
52,35-44,East Midlands,Male,£80k+,Somewhat unlikely
53,45-54,South West,Male,£20k-£40k,Very unlikely
54,55-64,Northern Ireland,Female,£40k-£60k,Very likely
55,55-64,East Midlands,Female,£80k+,Somewhat likely
56,55-64,South East,Female,Under £20k,Somewhat unlikely
57,65+,North West,Male,£80k+,Neutral
58,55-64,London,Female,£60k-£80k,Somewhat unlikely
59,55-64,East of England,Male,£40k-£60k,Somewhat likely
60,65+,Yorkshire,Male,£60k-£80k,Somewhat likely
61,65+,North East,Male,Under £20k,Very likely
62,55-64,Scotland,Other,Under £20k,Somewhat unlikely
63,55-64,North East,Male,£40k-£60k,Very unlikely
64,25-34,Yorkshire,Male,£60k-£80k,Somewhat unlikely
65,65+,North East,Female,£80k+,Very likely
66,55-64,North East,Female,Under £20k,Very unlikely
67,25-34,North East,Male,Under £20k,Somewhat unlikely
68,25-34,North East,Male,£20k-£40k,Somewhat unlikely
69,25-34,Wales,Female,£40k-£60k,Neutral
70,35-44,London,Male,£60k-£80k,Somewhat unlikely
71,18-24,London,Male,£20k-£40k,Somewhat unlikely
72,35-44,South West,Female,£80k+,Somewhat unlikely
73,55-64,London,Male,£20k-£40k,Somewhat unlikely
74,35-44,Scotland,Female,£60k-£80k,Very likely
75,35-44,Yorkshire,Female,Under £20k,Very unlikely
76,25-34,Wales,Male,Under £20k,Somewhat likely
77,55-64,West Midlands,Other,£20k-£40k,Very unlikely
78,25-34,South West,Other,£20k-£40k,Very unlikely
79,18-24,South West,Female,£40k-£60k,Somewhat unlikely
80,45-54,Wales,Female,£20k-£40k,Somewhat likely
81,65+,South East,Male,Under £20k,Very unlikely
82,25-34,North West,Female,£60k-£80k,Somewhat likely
83,25-34,North West,Male,£20k-£40k,Somewhat likely
84,35-44,South East,Other,£40k-£60k,Somewhat likely
85,55-64,West Midlands,Female,£80k+,Neutral
86,18-24,South East,Female,£40k-£60k,Somewhat likely
87,35-44,London,Male,£60k-£80k,Somewhat likely
88,35-44,West Midlands,Female,£80k+,Very likely
89,55-64,North West,Male,£60k-£80k,Very likely
90,55-64,Wales,Female,£20k-£40k,Neutral
91,18-24,Wales,Female,£80k+,Neutral
92,18-24,Northern Ireland,Female,£80k+,Neutral
93,45-54,Yorkshire,Male,£40k-£60k,Somewhat unlikely
94,25-34,West Midlands,Female,£60k-£80k,Neutral
95,25-34,Scotland,Female,£60k-£80k,Neutral
96,18-24,North East,Male,£60k-£80k,Somewhat unlikely
97,55-64,Wales,Male,£60k-£80k,Somewhat unlikely
98,25-34,East of England,Male,£20k-£40k,Neutral
99,35-44,East of England,Female,£80k+,Somewhat likely
100,25-34,Wales,Male,£20k-£40k,Very likely
101,18-24,North West,Other,£80k+,Very unlikely
102,18-24,East Midlands,Male,£80k+,Somewhat likely
103,65+,West Midlands,Female,£20k-£40k,Neutral
104,65+,London,Female,Under £20k,Very unlikely
105,25-34,South West,Female,£80k+,Somewhat likely
106,55-64,North West,Female,Under £20k,Somewhat unlikely
107,45-54,Wales,Female,£80k+,Somewhat unlikely
108,45-54,Scotland,Female,£80k+,Neutral
109,55-64,East Midlands,Female,£60k-£80k,Somewhat unlikely
110,25-34,Wales,Male,£80k+,Neutral
111,25-34,North East,Male,£40k-£60k,Somewhat likely
112,35-44,Yorkshire,Female,Under £20k,Very likely
113,25-34,West Midlands,Female,£20k-£40k,Very likely
114,45-54,Yorkshire,Female,£60k-£80k,Very likely
115,45-54,West Midlands,Female,£80k+,Very unlikely
116,18-24,Scotland,Male,Under £20k,Very unlikely
117,35-44,West Midlands,Female,£60k-£80k,Neutral
118,65+,East of England,Female,£20k-£40k,Somewhat unlikely
119,35-44,West Midlands,Female,£60k-£80k,Somewhat likely
120,65+,West Midlands,Female,£60k-£80k,Very unlikely
121,55-64,East of England,Male,£60k-£80k,Somewhat unlikely
122,65+,London,Male,£60k-£80k,Somewhat likely
123,45-54,South West,Male,£60k-£80k,Neutral
124,45-54,Yorkshire,Male,£60k-£80k,Somewhat likely
125,45-54,North East,Female,£60k-£80k,Very likely
126,55-64,London,Other,£40k-£60k,Somewhat likely
127,18-24,Wales,Male,Under £20k,Very unlikely
128,25-34,London,Female,£20k-£40k,Very likely
129,65+,South East,Female,£20k-£40k,Somewhat unlikely
130,35-44,Yorkshire,Male,£80k+,Very unlikely
131,65+,South East,Female,£20k-£40k,Very unlikely
132,18-24,Scotland,Male,£40k-£60k,Somewhat unlikely
133,45-54,West Midlands,Female,£20k-£40k,Very likely
134,65+,Wales,Male,£40k-£60k,Very unlikely
135,55-64,South East,Female,£80k+,Very unlikely
136,35-44,East of England,Male,£40k-£60k,Very likely
137,65+,Yorkshire,Male,£60k-£80k,Very unlikely
138,18-24,West Midlands,Other,£60k-£80k,Somewhat unlikely
139,45-54,South West,Female,£40k-£60k,Somewhat unlikely
140,55-64,East Midlands,Male,£80k+,Neutral
141,25-34,South East,Male,£60k-£80k,Somewhat likely
142,45-54,Scotland,Female,£60k-£80k,Somewhat likely
143,45-54,Yorkshire,Male,£20k-£40k,Neutral
144,35-44,Yorkshire,Male,£80k+,Somewhat unlikely
145,35-44,East of England,Male,£20k-£40k,Very likely
146,65+,West Midlands,Female,£20k-£40k,Very unlikely
147,65+,Northern Ireland,Female,Under £20k,Somewhat likely
148,25-34,West Midlands,Female,£40k-£60k,Neutral
149,35-44,East Midlands,Female,£40k-£60k,Neutral
150,65+,East of England,Male,£60k-£80k,Neutral
151,35-44,North West,Male,£20k-£40k,Somewhat likely
152,65+,East of England,Female,£20k-£40k,Neutral
153,65+,East Midlands,Male,£80k+,Very unlikely
154,55-64,Scotland,Male,Under £20k,Very unlikely
155,35-44,North West,Male,£40k-£60k,Very likely
156,55-64,South West,Male,Under £20k,Somewhat unlikely
157,65+,South West,Female,£60k-£80k,Somewhat likely
158,18-24,Scotland,Male,£60k-£80k,Neutral
159,25-34,London,Male,£60k-£80k,Very likely
160,18-24,West Midlands,Female,£80k+,Somewhat unlikely
161,18-24,South West,Male,£80k+,Very unlikely
162,18-24,North West,Male,£60k-£80k,Somewhat unlikely
163,55-64,North West,Female,£60k-£80k,Somewhat unlikely
164,45-54,North East,Female,£60k-£80k,Neutral
165,55-64,London,Female,Under £20k,Very unlikely
166,25-34,Wales,Male,Under £20k,Very likely
167,25-34,East of England,Male,Under £20k,Somewhat likely
168,65+,Scotland,Male,Under £20k,Neutral
169,65+,North East,Female,£60k-£80k,Somewhat likely
170,25-34,North East,Female,£80k+,Neutral
171,25-34,West Midlands,Male,£20k-£40k,Neutral
172,35-44,South West,Male,£20k-£40k,Somewhat unlikely
173,55-64,Northern Ireland,Female,£40k-£60k,Somewhat unlikely
174,45-54,Northern Ireland,Male,£60k-£80k,Very unlikely
175,55-64,East of England,Female,Under £20k,Somewhat unlikely
176,45-54,Northern Ireland,Male,£40k-£60k,Very likely
177,25-34,Wales,Female,£80k+,Neutral
178,18-24,Wales,Female,£80k+,Very likely
179,25-34,East Midlands,Female,£60k-£80k,Very unlikely
180,25-34,Scotland,Male,£60k-£80k,Very unlikely
181,45-54,Yorkshire,Male,£40k-£60k,Somewhat unlikely
182,25-34,Yorkshire,Male,£60k-£80k,Somewhat likely
183,45-54,East of England,Male,Under £20k,Somewhat likely
184,35-44,South East,Other,£60k-£80k,Very unlikely
185,18-24,Wales,Female,£60k-£80k,Neutral
186,25-34,East of England,Male,£60k-£80k,Neutral
187,18-24,North West,Male,£20k-£40k,Very unlikely
188,45-54,Northern Ireland,Female,Under £20k,Very unlikely
189,55-64,North West,Female,£40k-£60k,Somewhat unlikely
190,55-64,West Midlands,Male,Under £20k,Somewhat unlikely
191,18-24,Wales,Female,£60k-£80k,Very unlikely
192,35-44,East of England,Female,£60k-£80k,Very unlikely
193,45-54,North West,Male,£20k-£40k,Neutral
194,55-64,East of England,Female,£20k-£40k,Very unlikely
195,35-44,West Midlands,Male,£80k+,Somewhat likely
196,18-24,North East,Female,£80k+,Somewhat unlikely
197,65+,East Midlands,Female,£60k-£80k,Somewhat unlikely
198,35-44,Yorkshire,Female,£80k+,Somewhat likely
199,35-44,North West,Other,£20k-£40k,Neutral
200,25-34,West Midlands,Male,£60k-£80k,Somewhat unlikely
201,45-54,West Midlands,Other,£20k-£40k,Neutral
202,18-24,South West,Female,£80k+,Neutral
203,18-24,East Midlands,Male,£60k-£80k,Very likely
204,25-34,West Midlands,Female,£20k-£40k,Very likely
205,35-44,Yorkshire,Female,£60k-£80k,Somewhat unlikely
206,35-44,Wales,Female,£60k-£80k,Very unlikely
207,65+,Northern Ireland,Female,£60k-£80k,Very unlikely
208,18-24,Scotland,Male,£40k-£60k,Very unlikely
209,65+,South East,Male,Under £20k,Very unlikely
210,65+,South East,Male,£40k-£60k,Very unlikely
211,18-24,Yorkshire,Female,£40k-£60k,Neutral
212,45-54,South West,Male,£60k-£80k,Somewhat unlikely
213,25-34,South West,Male,£80k+,Very unlikely
214,55-64,Wales,Male,£80k+,Somewhat likely
215,45-54,Wales,Male,£40k-£60k,Somewhat unlikely
216,45-54,North East,Female,£20k-£40k,Very likely
217,35-44,Scotland,Male,£60k-£80k,Somewhat unlikely
218,45-54,North East,Male,£60k-£80k,Very unlikely
219,18-24,North West,Male,£40k-£60k,Somewhat unlikely
220,65+,North East,Male,£60k-£80k,Neutral
221,55-64,Wales,Female,Under £20k,Very unlikely
222,65+,East Midlands,Female,£40k-£60k,Very unlikely
223,25-34,Scotland,Female,£20k-£40k,Neutral
224,55-64,North East,Female,£20k-£40k,Somewhat unlikely
225,65+,Wales,Male,£60k-£80k,Very likely
226,35-44,Northern Ireland,Male,£40k-£60k,Somewhat likely
227,45-54,South West,Male,£80k+,Very unlikely
228,35-44,East of England,Female,£40k-£60k,Very unlikely
229,35-44,East Midlands,Other,£40k-£60k,Somewhat unlikely
230,35-44,South East,Male,Under £20k,Very likely
231,25-34,Wales,Female,£60k-£80k,Very unlikely
232,55-64,Yorkshire,Male,£60k-£80k,Very likely
233,55-64,South East,Male,£40k-£60k,Somewhat unlikely
234,65+,Yorkshire,Male,£20k-£40k,Somewhat unlikely
235,55-64,East of England,Male,£80k+,Neutral
236,18-24,Wales,Female,£40k-£60k,Somewhat unlikely
237,18-24,South West,Male,Under £20k,Neutral
238,45-54,South East,Male,£80k+,Somewhat likely
239,45-54,Yorkshire,Female,£80k+,Neutral
240,65+,Northern Ireland,Male,£60k-£80k,Very unlikely
241,45-54,Scotland,Male,£40k-£60k,Very likely
242,35-44,North West,Male,£20k-£40k,Very unlikely
243,18-24,Wales,Male,£40k-£60k,Very likely
244,35-44,North West,Other,£60k-£80k,Very likely
245,25-34,Wales,Female,Under £20k,Very likely
246,35-44,North West,Other,£80k+,Somewhat likely
247,55-64,North West,Female,£20k-£40k,Neutral
248,25-34,Scotland,Male,£20k-£40k,Very unlikely
249,55-64,North East,Female,Under £20k,Very unlikely
250,18-24,South West,Male,£20k-£40k,Somewhat unlikely
251,18-24,South West,Male,£20k-£40k,Somewhat unlikely
252,55-64,South East,Female,£60k-£80k,Somewhat unlikely
253,35-44,East of England,Female,£60k-£80k,Neutral
254,55-64,London,Female,£80k+,Neutral
255,65+,London,Male,£60k-£80k,Very unlikely
256,45-54,Wales,Male,£60k-£80k,Very likely
257,18-24,Yorkshire,Female,Under £20k,Somewhat likely
258,55-64,Wales,Female,£40k-£60k,Somewhat unlikely
259,55-64,East of England,Male,£80k+,Somewhat unlikely
260,18-24,Northern Ireland,Male,£80k+,Somewhat unlikely
261,25-34,West Midlands,Male,£20k-£40k,Somewhat likely
262,45-54,West Midlands,Male,Under £20k,Neutral
263,35-44,Wales,Male,£20k-£40k,Somewhat unlikely
264,45-54,South East,Male,Under £20k,Very likely
265,18-24,Northern Ireland,Female,£20k-£40k,Somewhat unlikely
266,55-64,East of England,Female,Under £20k,Somewhat unlikely
267,65+,West Midlands,Female,Under £20k,Very unlikely
268,55-64,North East,Male,£80k+,Somewhat unlikely
269,25-34,Wales,Female,Under £20k,Somewhat likely
270,55-64,Yorkshire,Male,£40k-£60k,Somewhat unlikely
271,45-54,East of England,Other,£80k+,Somewhat unlikely
272,65+,East of England,Male,£40k-£60k,Very likely
273,35-44,Northern Ireland,Female,£40k-£60k,Somewhat likely
274,25-34,South West,Female,£60k-£80k,Very likely
275,65+,Wales,Other,Under £20k,Very unlikely
276,25-34,West Midlands,Male,£40k-£60k,Very likely
277,35-44,Northern Ireland,Male,£80k+,Neutral
278,18-24,South West,Male,£80k+,Very likely
279,18-24,North East,Male,£60k-£80k,Neutral
280,45-54,West Midlands,Male,£80k+,Very likely
281,45-54,South East,Male,£80k+,Neutral
282,65+,North East,Male,£60k-£80k,Very unlikely
283,18-24,London,Male,£20k-£40k,Somewhat unlikely
284,35-44,North East,Male,Under £20k,Neutral
285,45-54,South West,Male,£80k+,Somewhat unlikely
286,55-64,East of England,Female,£40k-£60k,Very likely
287,65+,London,Male,£60k-£80k,Very unlikely
288,35-44,Scotland,Male,£60k-£80k,Somewhat unlikely
289,45-54,North East,Male,Under £20k,Very unlikely
290,25-34,Scotland,Male,£40k-£60k,Very likely
291,18-24,North West,Male,£60k-£80k,Neutral
292,45-54,North East,Female,£20k-£40k,Neutral
293,25-34,South East,Female,Under £20k,Somewhat likely
294,25-34,Yorkshire,Male,£20k-£40k,Somewhat likely
295,25-34,North East,Male,£80k+,Very likely
296,65+,South East,Male,£60k-£80k,Somewhat unlikely
297,55-64,Scotland,Male,£80k+,Somewhat unlikely
298,55-64,Yorkshire,Female,£40k-£60k,Somewhat likely
299,18-24,East Midlands,Male,£40k-£60k,Very unlikely
300,55-64,London,Male,Under £20k,Neutral
301,45-54,London,Male,£40k-£60k,Very likely
302,18-24,Scotland,Female,£60k-£80k,Neutral
303,55-64,Northern Ireland,Female,£60k-£80k,Very unlikely
304,55-64,Wales,Male,£80k+,Somewhat unlikely
305,25-34,London,Male,£40k-£60k,Very unlikely
306,18-24,East of England,Female,Under £20k,Somewhat likely
307,45-54,East Midlands,Female,£80k+,Somewhat likely
308,35-44,North East,Male,£40k-£60k,Somewhat unlikely
309,18-24,Wales,Female,Under £20k,Neutral
310,55-64,Wales,Male,£40k-£60k,Very unlikely
311,65+,Scotland,Female,£40k-£60k,Somewhat likely
312,65+,South West,Female,£40k-£60k,Very unlikely
313,65+,Wales,Male,£80k+,Very unlikely
314,18-24,North East,Female,£40k-£60k,Very unlikely
315,65+,Northern Ireland,Female,£80k+,Somewhat likely
316,65+,West Midlands,Female,Under £20k,Somewhat unlikely
317,25-34,North West,Male,£60k-£80k,Somewhat likely
318,25-34,South West,Male,Under £20k,Neutral
319,55-64,Northern Ireland,Female,Under £20k,Very unlikely
320,55-64,South West,Female,£20k-£40k,Somewhat likely
321,65+,Scotland,Female,£20k-£40k,Very unlikely
322,18-24,West Midlands,Male,£20k-£40k,Very unlikely
323,55-64,North East,Female,£60k-£80k,Neutral
324,25-34,North East,Other,£60k-£80k,Very unlikely
325,25-34,Yorkshire,Female,£80k+,Very unlikely
326,45-54,North East,Female,£80k+,Somewhat unlikely
327,25-34,North West,Female,£20k-£40k,Very unlikely
328,18-24,Wales,Female,£40k-£60k,Somewhat unlikely
329,18-24,Northern Ireland,Female,Under £20k,Neutral
330,25-34,North East,Male,£80k+,Very likely
331,45-54,South East,Female,£20k-£40k,Very unlikely
332,35-44,London,Male,£60k-£80k,Somewhat likely
333,25-34,West Midlands,Other,£40k-£60k,Somewhat likely
334,35-44,South East,Female,£40k-£60k,Somewhat unlikely
335,25-34,London,Male,£60k-£80k,Neutral
336,25-34,Northern Ireland,Male,£80k+,Very likely
337,18-24,London,Male,£20k-£40k,Neutral
338,65+,Scotland,Female,Under £20k,Very unlikely
339,25-34,North East,Male,£20k-£40k,Somewhat likely
340,55-64,East Midlands,Male,£60k-£80k,Somewhat unlikely
341,18-24,Wales,Female,£20k-£40k,Somewhat unlikely
342,35-44,West Midlands,Male,£40k-£60k,Somewhat likely
343,45-54,South West,Female,Under £20k,Somewhat unlikely
344,35-44,South East,Female,£80k+,Neutral
345,55-64,East of England,Male,£60k-£80k,Very likely
346,45-54,Yorkshire,Male,Under £20k,Neutral
347,18-24,Yorkshire,Male,Under £20k,Somewhat unlikely
348,65+,Yorkshire,Male,£40k-£60k,Very unlikely
349,65+,South West,Female,£60k-£80k,Very unlikely
350,45-54,Wales,Male,£20k-£40k,Very likely
351,45-54,London,Male,Under £20k,Very unlikely
352,18-24,Yorkshire,Female,£80k+,Neutral
353,55-64,East Midlands,Male,£20k-£40k,Neutral
354,18-24,Wales,Male,Under £20k,Very unlikely
355,45-54,West Midlands,Female,£60k-£80k,Neutral
356,25-34,East Midlands,Female,£40k-£60k,Very unlikely
357,55-64,North East,Female,£60k-£80k,Somewhat likely
358,55-64,South West,Female,£40k-£60k,Somewhat likely
359,35-44,Wales,Male,£60k-£80k,Neutral
360,45-54,South West,Female,£40k-£60k,Neutral
361,65+,Yorkshire,Female,£60k-£80k,Neutral
362,18-24,South East,Female,£60k-£80k,Neutral
363,65+,Wales,Male,Under £20k,Neutral
364,55-64,Wales,Female,Under £20k,Somewhat likely
365,25-34,Wales,Male,£60k-£80k,Very unlikely
366,18-24,Scotland,Male,£60k-£80k,Very unlikely
367,35-44,East Midlands,Female,£80k+,Very likely
368,35-44,West Midlands,Male,£40k-£60k,Somewhat likely
369,18-24,London,Female,£60k-£80k,Neutral
370,55-64,South East,Male,£40k-£60k,Very unlikely
371,25-34,Scotland,Male,£60k-£80k,Very likely
372,25-34,South East,Male,£60k-£80k,Very unlikely
373,65+,Yorkshire,Female,Under £20k,Very unlikely
374,35-44,North East,Female,£20k-£40k,Somewhat unlikely
375,55-64,North West,Male,£20k-£40k,Very unlikely
376,25-34,East Midlands,Male,£80k+,Neutral
377,45-54,East of England,Male,Under £20k,Very likely
378,45-54,Northern Ireland,Female,£80k+,Neutral
379,45-54,Scotland,Male,£40k-£60k,Somewhat unlikely
380,45-54,East Midlands,Female,£40k-£60k,Somewhat likely
381,55-64,Wales,Female,£20k-£40k,Somewhat unlikely
382,18-24,South East,Female,£40k-£60k,Somewhat likely
383,35-44,Northern Ireland,Male,£80k+,Very unlikely
384,18-24,North East,Male,£80k+,Neutral
385,65+,North East,Female,Under £20k,Somewhat unlikely
386,25-34,Scotland,Female,£20k-£40k,Very likely
387,55-64,Northern Ireland,Female,£40k-£60k,Very unlikely
388,55-64,London,Female,Under £20k,Very likely
389,65+,Scotland,Male,£20k-£40k,Very unlikely
390,45-54,Scotland,Female,£60k-£80k,Very unlikely
391,55-64,North East,Female,£40k-£60k,Somewhat unlikely
392,65+,West Midlands,Male,Under £20k,Very unlikely
393,25-34,East Midlands,Male,£60k-£80k,Somewhat likely
394,55-64,South West,Male,£40k-£60k,Very unlikely
395,35-44,West Midlands,Male,£40k-£60k,Neutral
396,18-24,Yorkshire,Male,Under £20k,Somewhat likely
397,25-34,South West,Male,£40k-£60k,Very unlikely
398,55-64,West Midlands,Male,£20k-£40k,Very unlikely
399,55-64,Northern Ireland,Male,£20k-£40k,Somewhat unlikely
400,55-64,East Midlands,Female,£40k-£60k,Somewhat unlikely
401,18-24,West Midlands,Female,£20k-£40k,Somewhat likely
402,35-44,London,Male,£60k-£80k,Neutral
403,65+,Wales,Male,£80k+,Very likely
404,18-24,West Midlands,Male,£40k-£60k,Somewhat unlikely
405,45-54,Yorkshire,Male,Under £20k,Somewhat unlikely
406,25-34,Yorkshire,Female,Under £20k,Somewhat likely
407,45-54,East of England,Male,£80k+,Somewhat unlikely
408,18-24,South West,Other,£60k-£80k,Neutral
409,35-44,East of England,Female,£20k-£40k,Somewhat likely
410,55-64,West Midlands,Female,Under £20k,Very likely
411,65+,Yorkshire,Female,£80k+,Somewhat unlikely
412,55-64,East of England,Male,£80k+,Neutral
413,45-54,Scotland,Female,£40k-£60k,Somewhat unlikely
414,55-64,East of England,Female,£80k+,Neutral
415,18-24,Yorkshire,Male,Under £20k,Very unlikely
416,55-64,North East,Female,Under £20k,Somewhat unlikely
417,35-44,Wales,Female,£80k+,Neutral
418,65+,London,Female,£20k-£40k,Somewhat unlikely
419,65+,Scotland,Female,£60k-£80k,Somewhat likely
420,65+,North West,Male,Under £20k,Neutral
421,45-54,Yorkshire,Male,£60k-£80k,Somewhat unlikely
422,45-54,East of England,Female,£60k-£80k,Very unlikely
423,65+,Northern Ireland,Male,£20k-£40k,Somewhat unlikely
424,55-64,Yorkshire,Other,£60k-£80k,Somewhat unlikely
425,35-44,South West,Male,£80k+,Somewhat likely
426,35-44,Wales,Female,£40k-£60k,Neutral
427,25-34,North West,Male,£40k-£60k,Somewhat likely
428,35-44,North East,Female,£60k-£80k,Somewhat likely
429,35-44,East of England,Female,£40k-£60k,Somewhat likely
430,55-64,Wales,Female,£60k-£80k,Very unlikely
431,25-34,North East,Male,Under £20k,Somewhat likely
432,45-54,Wales,Male,£60k-£80k,Somewhat likely
433,55-64,North East,Female,£40k-£60k,Somewhat likely
434,55-64,Northern Ireland,Female,£20k-£40k,Very likely
435,55-64,North West,Female,Under £20k,Somewhat likely
436,35-44,Northern Ireland,Male,£20k-£40k,Very likely
437,55-64,South West,Male,£60k-£80k,Somewhat unlikely
438,25-34,North East,Male,Under £20k,Very unlikely
439,18-24,Wales,Female,£80k+,Somewhat unlikely
440,18-24,South West,Male,£20k-£40k,Very unlikely
441,18-24,West Midlands,Female,£20k-£40k,Very unlikely
442,35-44,London,Male,£80k+,Neutral
443,35-44,North East,Male,£80k+,Neutral
444,25-34,East of England,Male,£20k-£40k,Somewhat unlikely
445,35-44,South West,Female,£40k-£60k,Somewhat unlikely
446,18-24,Northern Ireland,Male,£40k-£60k,Somewhat unlikely
447,25-34,South West,Female,£60k-£80k,Somewhat unlikely
448,55-64,Yorkshire,Male,Under £20k,Somewhat likely
449,25-34,East Midlands,Male,£20k-£40k,Very likely
450,45-54,North West,Male,£40k-£60k,Very unlikely
451,35-44,Scotland,Female,Under £20k,Somewhat likely
452,35-44,Northern Ireland,Male,Under £20k,Neutral
453,25-34,West Midlands,Female,£40k-£60k,Neutral
454,65+,North East,Male,£20k-£40k,Neutral
455,25-34,East Midlands,Male,£80k+,Somewhat likely
456,65+,East of England,Female,£80k+,Very unlikely
457,25-34,North West,Female,£80k+,Very unlikely
458,18-24,East of England,Male,£40k-£60k,Very likely
459,55-64,South East,Male,£80k+,Very unlikely
460,25-34,Scotland,Female,£20k-£40k,Somewhat likely
461,55-64,East Midlands,Male,£20k-£40k,Very unlikely
462,45-54,South East,Female,£60k-£80k,Very unlikely
463,45-54,South West,Female,£60k-£80k,Somewhat unlikely
464,55-64,East Midlands,Female,£40k-£60k,Very unlikely
465,45-54,North East,Female,£20k-£40k,Somewhat unlikely
466,18-24,West Midlands,Male,Under £20k,Neutral
467,18-24,South East,Other,£60k-£80k,Very likely
468,45-54,South West,Female,£60k-£80k,Neutral
469,45-54,East Midlands,Female,£60k-£80k,Neutral
470,65+,Wales,Female,£20k-£40k,Very unlikely
471,35-44,South East,Male,£80k+,Somewhat likely
472,25-34,Northern Ireland,Other,Under £20k,Somewhat unlikely
473,35-44,East Midlands,Female,£80k+,Neutral
474,45-54,North West,Male,£40k-£60k,Somewhat likely
475,25-34,Northern Ireland,Female,Under £20k,Somewhat unlikely
476,45-54,Scotland,Female,Under £20k,Somewhat likely
477,18-24,South East,Female,£60k-£80k,Somewhat unlikely
478,65+,London,Male,Under £20k,Somewhat unlikely
479,25-34,East of England,Male,Under £20k,Very likely
480,35-44,North West,Female,£80k+,Somewhat likely
481,55-64,Wales,Female,£20k-£40k,Neutral
482,25-34,Wales,Female,£60k-£80k,Somewhat likely
483,18-24,East of England,Female,£20k-£40k,Somewhat unlikely
484,45-54,East of England,Female,£40k-£60k,Very unlikely
485,65+,West Midlands,Female,£40k-£60k,Very unlikely
486,45-54,South West,Male,£20k-£40k,Very unlikely
487,45-54,North West,Female,£40k-£60k,Very unlikely
488,25-34,East Midlands,Female,£80k+,Somewhat likely
489,45-54,East of England,Female,£60k-£80k,Somewhat likely
490,25-34,Yorkshire,Female,£60k-£80k,Very unlikely
491,18-24,East of England,Female,£20k-£40k,Very likely
492,45-54,Wales,Female,Under £20k,Very unlikely
493,25-34,Scotland,Female,£80k+,Somewhat likely
494,25-34,Yorkshire,Male,Under £20k,Somewhat likely
495,25-34,Northern Ireland,Male,£60k-£80k,Very unlikely
496,65+,Scotland,Female,£60k-£80k,Very unlikely
497,55-64,Yorkshire,Female,£60k-£80k,Somewhat unlikely
498,65+,Yorkshire,Male,£40k-£60k,Somewhat unlikely
499,45-54,East Midlands,Male,£60k-£80k,Very unlikely
500,35-44,North West,Male,£60k-£80k,Very likely
501,25-34,Northern Ireland,Male,£40k-£60k,Neutral
502,55-64,Scotland,Female,£40k-£60k,Somewhat likely
503,35-44,North West,Male,£20k-£40k,Neutral
504,65+,Wales,Male,£60k-£80k,Very unlikely
